uuid	lineage	susceptibility	genotype
dd45b656-8096-4009-a0e7-e8cfdd31fa0b	239	RSRSRSRSRRRS	MRSA:PVL*
aef72cec-85c0-4b27-9d17-d54164f5cf89	239	RSRSRSRSRRRS	MRSA:PVL*
9a4857a7-8c88-4594-b8a9-1b8de236c2ef	239	RRRSRRRSRRRS	MRSA:PVL*
e112130d-34cb-4d2d-906a-ec5d66cf2e06	239	RRRSRSRRRRRS	MRSA:PVL*
85e3bea3-12db-401a-aeef-ee5ba247bf6c	368	RSRSRSRRRRRS	MRSA:PVL*
89a2fa2f-a213-4652-8bc5-bf2ccd186ad2	239	RRRSRSRRRRRS	MRSA:PVL*
7ace721f-2582-412f-8acb-16533c778c24	239	RRRSRSRRRRRS	MRSA:PVL*
5a1d29ca-6b18-4765-8686-fb732856fbbb	239	RRRSRSSSRRRS	MRSA:PVL*
528d0236-ef3b-4dab-9b60-4d5ad97f7dbc	239	RRRSRSRSRRRS	MRSA:PVL*
276c1acf-da06-4173-965b-e03bb09d11c8	239	RRRSRSRRRRRS	MRSA:PVL*
696159e6-c686-49b3-8fe7-d98e2a884500	241	RSRSRSSRRRRS	MRSA:PVL*
212082c2-3bea-490a-b448-517b9b330f0b	239	RRRSRSRSRRRS	MRSA:PVL*
e3674c0f-8dd7-4db3-974c-c10ae75f7adb	239	RRRSRSRSRRRS	MRSA:PVL*
7fe6d2e0-8774-4a22-b147-6b242707614c	239	RRRSRSRSRRRS	MRSA:PVL*
a512fca8-f39f-442c-a196-cfe06cce4d8a	239	RRRSRSRSRRRS	MRSA:PVL*
248c2a7c-5759-4cd6-ba13-aff31bf57e52	239	RRRSRSRRRRRS	MRSA:PVL*
bf2aa682-5879-4d2d-9da2-465aba614956	22	RSRSRSSSRRRS	MRSA:PVL-
52289d3a-1f52-4da7-a204-6d92a51b3cd5	239	RRRSRSRRRRRS	MRSA:PVL*
3b199142-043c-4d61-b1b3-5e7781a51a3b	239	RRRSRSRSRRRS	MRSA:PVL*
cd181ea5-81d1-4bc9-ab50-832ba7495f62	239	RRRSRSRSRRRS	MRSA:PVL*
f87a19f6-62a8-422f-ad36-d9e92c9bba92	239	RRRSRSRSRRRS	MRSA:PVL*
c2483908-ad11-4603-ba60-5b6d8a4a2de9	22	SSSSSSSSRSSS	MSSA:PVL-
0db27628-197a-44b7-98a6-b93d741aef6c	737	SSSSSSSSRRSS	MRSA:PVL-
f0236e88-abe7-4144-b43a-c5def9379d01	239	RRRSRSRSRRRS	MRSA:PVL*
8b9b9b49-381d-4ff0-86e4-60b7f12a1eeb	239	RRRSRSSSRRRS	MRSA:PVL*
b6505fe1-fe62-4e3f-9ac4-9660796e1b51	239	RRRSRSRSRRRS	MRSA:PVL*
d6421f0b-579c-426d-9ed9-2f5a295a5115	239	RRRSRSRSRRRS	MRSA:PVL*
b5c7b090-7d67-495d-8b54-4c3eaff3a74a	239	RRRSRSRSRRRS	MRSA:PVL*
fc2d8260-387d-4d70-a778-a0e84f9bd426	1283	RRRSRSRRRRRS	MRSA:PVL*
4be08948-c9cd-4cb1-a1ec-e45fc097ce7a	239	RRRSRSRSRRRS	MRSA:PVL*
1a18a45c-ccb7-4396-8b16-dfea79d1e93a	239	RSRSRSRRRRRS	MRSA:PVL*
dc2c370e-e58e-4074-8aa9-91c217a29e24	239	RRRSRRRSRRRS	MRSA:PVL*
fb12e29d-09b9-4752-8f17-d1b58d5d5c50	239	RRRSRSRSRRRS	MRSA:PVL*
9dfa746d-a54d-4713-982a-a325998aaeb6	22	RSRSRSSSRRRS	MRSA:PVL-
f033ec24-4c17-4f08-a76b-40115237a489	22	RSRSSSSSRRRS	MRSA:PVL-
c52f468f-9591-489f-9f85-096023680e00	22	RSRSSSSSRRRS	MRSA:PVL-
4890b89f-4705-4c44-9560-c13c4453286d	239	RRRSRSRSRRRS	MRSA:PVL*
28c083ac-08e5-462c-93a0-831d17333e94	239	RSRSRSRSRRRS	MRSA:PVL*
d0508afb-7f59-45d5-addb-50b19a51c16e	239	RRRSRSRSRRRS	MRSA:PVL*
93717c69-31cc-4863-ac8c-1dbe0fd65bc3	239	RRRSRSRSRRRS	MRSA:PVL*
3d5ceabc-a033-45bb-aca3-f32c5cff4f87	239	RRRSRSRSRRRS	MRSA:PVL*
571c1c1e-b1bf-45d5-9e4c-139e3a02e89f	239	RRRSRSRSRRRS	MRSA:PVL*
515a3150-c6f8-41fc-bc97-aceff0248656	239	RRRSRSRSRRRS	MRSA:PVL*
72af273d-0bf9-4c5a-a27e-46275e2d95bb	239	RRRSRSRSRRRS	MRSA:PVL*
a08b33ba-c628-480a-a469-93c2f09bd48d	239	RRRSRSRSRRRS	MRSA:PVL*
40fd8cee-3ef7-4afa-b992-5b333d4fb168	239	RRRSRSRSRRRS	MRSA:PVL*
fc1c23e9-0a81-4c91-ae35-0afbc7ffeef4	239	RRRSRSRSRRRS	MRSA:PVL*
ee549f47-069a-43f5-9cd2-3cde5fa47a24	239	RRRSRSRSRRRS	MRSA:PVL*
c236469d-4845-43c6-9797-2a96b17c2c39	239	RRRSRSRSRRRS	MRSA:PVL*
708d9cf7-8cb4-46ce-8e5b-b652c030c27c	239	RRRSRSRSRRRS	MRSA:PVL*
