uuid	lineage	genotype	susceptibility
de274151-1dbd-4c70-ab19-3295b302558a	323	KL21-O3b	
c949714f-5cd3-4bd9-8670-ee499ff70f8d	321	KL3-O2v2	
ccf34944-1c94-4b46-b595-04807d7e3548	323	KL21-O3b	
c98bb83a-52d6-4cf4-8d49-ca6e1473121d	36	KL142-O2v1	
fa6d507a-fef4-4fc9-afeb-8185c38774b9	3045	KL146-O2v2	
8c07b3bf-2105-460d-b583-e2d5c93870a3	3073	KL132-O1v1	
3671408c-f740-4a55-b07c-9485a504c1b5	17	KL38-O2v2	
3af63b33-89fe-4d43-815d-26a9436a77d7	309	KL42-O4	
d8a5e13d-8dcf-41c4-a767-eb3e4aba47a5	221	KL39-OL104	
dbd7afd4-cf50-4f44-9cdf-c39fccc21299	29	KL30-O1v2	
aa5760d8-b661-4058-a829-f91c20bbf113	45	KL24-O2v1	
8120c672-a63c-4b13-a885-746e59faba9f	1621	KL46-O3b	
a2894e6a-e2ec-4bfb-bb3c-161dba987b96	27	KL107-OL104	
56dc13de-81cc-4291-9717-87019dc6ed6b	1193	KL22-O2v1	
61147396-b636-43f6-979f-2d294f406ef0	1441	KL10-OL104	
ccbf80a8-99a5-4cda-9c43-1899abb9f8a0	3066	KL13-O3b	
95b364cb-ff74-4cdf-9a86-e50d5f72d8ff	3075	KL133-O2v1	
5bf999eb-7d15-4971-9709-1d9be2b19325	323	KL21-O3b	
94cdda30-7200-4a1c-9336-c490213b7af2	20	KL28-O1v1	
47eee47f-11a6-4702-9a8e-be3e1cd0c691	45	KL24-O2v1	
6d51c503-225f-4ab8-9043-cf2fb9e5ecbe	458	KL142-O1v1	
ca4c7b06-281e-4df7-b1e6-c9c82e7a2924	889	KL54-O1v1	
0bc24c58-88af-40ba-b63b-9cbc6e95e119	268	KL20-O2v1	
8900ec36-8c41-439b-9aee-0e26859300e8	340	KL15-O4	
a35a553c-3202-4b5d-9179-bf8214a646d0	111	KL63-O1v2	
46f2c981-54bf-44d6-a424-a2b53371bd8a	35	KL28-O1/O2v2	
f892d6c4-1193-413e-b561-7636d164827a	111	KL63-O1v2	
cf619833-6a6b-4246-994a-39e3c57cd6e6	412	KL57-O3b	
23531318-4cef-4ac9-9b4b-a39474a4afaf	323	KL21-O3b	
ed8a4fbb-4c61-4d5e-87ae-206ab076b1fa	629	KL134-O3/O3a	
e9c10925-bd65-4158-bdef-5ab073fbbca2	176	KL13-O3b	
0514bfdc-dd19-4038-836a-69489b19bddc	3046	KL22-O3b	
a8e3e151-371c-4c32-81f1-841ae2b562cf	3062	KL124-O3/O3a	
3e64209c-8844-480d-bb10-9301d8de63e7	3063	KL20-O2v1	
dc4c151c-5184-443b-9166-6288a5c8a34b	29	KL30-O1v2	
3dd1fce5-c139-418c-b08f-a085330767d4	29	KL30-O1v2	
63870bd8-5696-4d39-b3dc-1c6570aa98cd	485	KL28-O2v1	
c1e27340-098b-4faf-9223-4708fdc19697	485	KL28-O2v1	
f0f0f3ef-161f-4d8a-bce0-a61463674168	101	KL17-O1v1	
c8a8ad7c-595f-4220-b071-064961083840	3043	KL10-O1/O2v2	
c8b79dca-d8f6-45a7-b08e-5835786e3b86	1536	KL30-O1v1	
7f149a51-c9ec-4f88-93cd-78da8ad40fac	3074	KL13-O3b	
ffea450c-96b7-4263-bf6e-0b5d0c154780	323	KL21-O3b	
61e99a9e-2433-4012-a82a-6314b9e3c44b	29	KL30-O1v2	
99c98e9b-8b4c-4ac2-bf33-50a15ea82717	221	KL39-OL104	
b9f3977b-c8ba-4f55-9512-ceefa41aa3af	1017	KL58-O3b	
7f38e4f0-c222-4273-94bb-9998070fd753	1507	KL114-OL104	
66a68309-5274-4984-b2a0-9ef01d89438e	20	KL28-O1v2	
71d086f1-291b-4c51-97d5-67c09d5237b4	3098	KL24-O2v1	
c4647c22-da22-4cc7-8835-7a67aff8473a	13	KL3-O1v2	
7ee837d2-55e4-4a8e-a5ff-e3aeb40e773b	180	KL55-O1v1	
711f2447-cfcc-4de0-937c-d274297aa85b	37	KL15-O4	
661aeb68-b843-4e28-88b7-fde0de58021a	23	KL1-O1v2	
a90071d2-223b-46ee-971d-7f1eac6ca982	500	KL34-O1v1	
1757b833-dcb0-4c7f-8f42-d0dbf7d9e00b	340	KL15-O4	
53fdd07e-2aa4-4b18-9154-1cb298b719fc	23	KL1-O1v2	
877dc369-6fb7-4e59-8add-9bffe481975b	340	KL15-O4	
2ab65d85-7f6f-4178-a3bc-8c0424979d89	29	KL30-O1v2	
8c048cf5-14a1-48eb-8323-7600c831bb17	231	KL64-O1v1	
9443d9e9-9f55-4df7-b55a-cc9287a16252	29	KL30-O1v2	
1725867f-fe22-449c-808a-9433a3d4c2bb	111	KL63-O1v2	
61860d8a-e1a2-4247-bd80-cbbf92765b19	3072	KL39-O2v1	
b3e14b47-5154-442b-b620-976e0224ea7a	20	KL23-O1v2	
fcbaee81-9496-46fe-b525-378e4e77f945	3096	KL58-O3b	
60f980d7-a4a0-441b-820b-80c05845e58f	29	KL30-O1v2	
b5d163aa-b344-4ad3-a9c4-72eb68ab3dc9	661	KL28-O2v1	
6db86954-46b6-4b99-9b67-e9ef3d330aa9	37	KL15-O4	
c139c230-f439-40a5-a228-4be6554d429d	323	KL21-OL104	
ac520623-4682-46ed-8d10-56f8bf657de7	461	KL62-O2v2	
80d01200-b11f-4a41-a3b7-4549849ce029	231	KL64-O1v1	
aa1a02ee-3e5f-47dd-b26c-3d9c1f1e65d7	17	KL25-O5	
6e1dc211-6f7d-4728-a996-3691845f8e3c	27	KL61-O1v1	
d46db7bc-80ba-4754-9615-a26aec2088a4	323	KL21-O3b	
a78df180-4e58-405d-994b-ed360c5f0c2a	3054	KL46-O3b	
f9689c4b-0c18-4500-9ce8-c206ebc6fb56	231	KL64-O1v1	
